artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Bad Company,Straight Shooter,Feel like Makin' Love - 2015 Remaster,3KPwt1LBpt1jVSHz8GXERo,0.543,0.529,7,-9.717,1,0.0301,0.00269,0.709,0.746,85.126,313840,4
Bad Company,10 from 6 (2009 Remaster),Can't Get Enough - 2009 Remaster,3DnzFhjydj8XXtCAnVKz14,0.662,0.763,0,-7.475,1,0.0397,0.0013,0.067,0.699,126.333,254400,4
Badfinger,Straight Up (Remastered 2010 / Deluxe Edition),Baby Blue - Remastered 2010,6S3JlDAGk3uu3NtZbPnuhS,0.623,0.876,11,-7.788,1,0.066,0.0134,0.0728,0.515,124.431,217347,4
Bastille,Bad Blood,Pompeii,6fNhZRFEkBfgW39W3wKARJ,0.679,0.715,9,-6.383,1,0.0407,0,0.271,0.571,127.435,214148,4
Bastille,Bad Blood,Things We Lost In The Fire,3pm1X3oQBKQ4vcp3i9PWRg,0.587,0.918,4,-4.878,0,0.0581,0,0.267,0.629,134.055,240747,4
Beck,Mellow Gold,Loser,5NTZM8YYeKM2YsGSffVIge,0.615,0.616,6,-10.39,0,0.133,0.000129,0.348,0.836,170.776,235000,4
Ben Howard,Every Kingdom,Only Love,2uhEKg8kIzpdvz4gyy6x8W,0.545,0.485,8,-9.941,1,0.151,0.00137,0.119,0.341,80.401,249173,4
Ben Howard,Every Kingdom,Keep Your Head Up,5fpEDGQX0Ah3utGnFYulQZ,0.508,0.596,4,-9.034,0,0.0334,9.84E-06,0.111,0.4,79.359,264547,4
Ben Howard,Every Kingdom,The Wolves,2zKoA5gp5Xaw3mrp45XIrR,0.483,0.543,0,-9.903,0,0.0325,0.00708,0.127,0.489,119.235,309347,4
Ben Howard,Every Kingdom,Black Flies,3JhNsyNQSyrsHcnFRHZN1e,0.581,0.36,8,-13.174,1,0.0289,0.00589,0.0924,0.107,132.469,381507,4
Ben Howard,The Burgh Island EP,Oats In The Water,4dr5sJ1p6mdNpK3fIUz8vR,0.356,0.474,2,-9.41,0,0.0283,0.304,0.184,0.094,130.193,299382,4
Ben Howard,Every Kingdom,The Fear,17bpxYmEJLHVdptkxtjHbh,0.6,0.547,11,-9.653,1,0.0313,0.0104,0.113,0.444,125.909,260342,4
Biffy Clyro,Only Revolutions,Many of Horror,0Au4QRVX0hwIRVv1svcqhD,0.498,0.647,1,-7.631,1,0.0358,9.87E-06,0.146,0.257,163.87,258573,4
Biffy Clyro,Only Revolutions,Bubbles,05lBXOMA1uHpVPEQZyjoh3,0.35,0.724,3,-5.888,1,0.0314,0.00136,0.113,0.196,147.344,301080,4
Biffy Clyro,Only Revolutions,Mountains,51MbtYQHW8ph3lE5oyfLLs,0.507,0.852,1,-6.841,1,0.0453,1.28E-05,0.0599,0.595,158,201147,4
Biffy Clyro,Only Revolutions,The Captain,0wZG9XVpW62EoJsTAs5YKN,0.411,0.62,0,-6.263,1,0.0511,0,0.0906,0.783,129.205,223200,3
Biffy Clyro,Only Revolutions,That Golden Rule,6gi2P677XnfL5TPQHutZxH,0.515,0.916,5,-5.964,1,0.0499,0.000647,0.0421,0.437,109.138,229720,4
Biffy Clyro,Puzzle,Machines,2BdtN16BPZ6HVuFn7yx1pl,0.644,0.337,7,-10.906,1,0.0295,0.0169,0.301,0.31,108.041,236080,4
Biffy Clyro,Puzzle,Who's Got a Match?,6xA8iORZ0jWQnEOFTAEyRf,0.753,0.682,2,-5.224,1,0.0448,0.000352,0.296,0.932,158.922,143053,4
Biffy Clyro,Puzzle,Living Is a Problem Because Everything Dies,3YSWK6CZctW6JEze99eUlP,0.386,0.693,7,-6.033,1,0.0789,0.000179,0.35,0.338,167.911,318893,4
Biffy Clyro,Puzzle,Folding Stars,6zr0FTxyWq2fCimxaU4EcG,0.363,0.869,2,-4.254,1,0.0501,0.00229,0.318,0.351,205.551,256226,4
Biffy Clyro,Puzzle,Saturday Superhouse,2n4MJFxqQQsL2uhjTjV6Kl,0.431,0.937,6,-3.712,0,0.0874,2.43E-06,0.188,0.778,170.987,199453,4
Biffy Clyro,Puzzle,A Whole Child Ago,6QcnRu0dVP75u4Iita87ye,0.481,0.842,2,-6.038,1,0.0653,0.000807,0.105,0.171,163.947,261893,4
Billy Idol,Billy Idol,White Wedding - Pt. 1,1gzIbdFnGJ226LTl0Cn2SX,0.673,0.814,9,-5.411,1,0.0367,0.00293,0.343,0.728,147.193,252200,4
Billy Idol,Vital Idol,Dancing With Myself,1BY1Vd2Bt6JPOhMvsIwtVv,0.51,0.696,4,-10.83,1,0.0802,0.000104,0.297,0.905,176.568,359733,4
Billy Idol,Rebel Yell,Rebel Yell,4TIJ7zSBNejpoIPaWpWRKc,0.53,0.864,4,-4.948,0,0.061,0.000459,0.354,0.484,166.312,288533,4
Billy Joel,Storm Front,We Didn't Start the Fire,3Cx4yrFaX8CeHwBMReOWXI,0.712,0.967,7,-5.206,1,0.047,0,0.356,0.895,145.024,287733,4
Billy Joel,Piano Man: The Very Best of Billy Joel,The River of Dreams,2ZaJ6c43VgvbQdiS2bwNrr,0.598,0.783,7,-7.791,1,0.0554,0,0.0787,0.53,89.668,246467,4
Billy Squier,Don't Say No,Lonely Is The Night - Remastered,28eg5bkYvIHT7HPmzZFwLN,0.347,0.803,9,-4.923,1,0.0416,4.36E-06,0.116,0.672,85.362,281453,4
Billy Squier,Signs Of Life,Rock Me Tonite,12c1PXyghlSuNVO9GZi0DH,0.472,0.724,9,-5.061,0,0.0522,0,0.239,0.673,127.36,297267,4
The Black Keys,El Camino,Lonely Boy,5G1sTBGbZT5o4PNRc75RKI,0.356,0.872,2,-7.837,1,0.068,0.00975,0.0997,0.607,166.3,193653,4
The Black Keys,El Camino,Gold on the Ceiling,5lN1EH25gdiqT1SFALMAq1,0.505,0.833,0,-4.632,1,0.0475,7.90E-05,0.069,0.565,130.121,224333,4
Bloc Party,Silent Alarm,Helicopter,72aCha2Meq7txnk451hz7k,0.466,0.954,11,-3.633,0,0.132,0.00343,0.387,0.396,170.058,220173,4
Bloc Party,Silent Alarm,Like Eating Glass,2x7cxHkkKF4afADOkrxe6J,0.398,0.982,6,-4.859,0,0.163,0.000242,0.107,0.22,160.26,261987,4
Blondie,Atomic: The Very Best Of Blondie,One Way Or Another,5Q7cE6wGHMehLFo2ppkk5D,0.445,0.872,6,-6.294,0,0.0602,0.00909,0.047,0.834,162.407,208360,4
Blondie,Best Of Blondie,Heart Of Glass - Special Mix,0a4agFmqHXxcZl1nho1BxM,0.694,0.577,4,-14.63,1,0.0308,0.00836,0.0853,0.845,114.478,275733,4
Blondie,Atomic/Atomix,Call Me,4qO03RMQm88DdpTJcxlglY,0.56,0.825,2,-6.711,0,0.0347,0.00246,0.0892,0.74,142.669,212600,4
Blondie,Blondie 4(0)-Ever: Greatest Hits Deluxe Redux / Ghosts Of Download,Maria,4jDhI4nE32u8meRN1aOu8u,0.545,0.812,9,-5.672,1,0.0609,0.00111,0.0749,0.785,159.69,245701,4
Blue Öyster Cult,Agents Of Fortune,(Don't Fear) The Reaper,5QTxFnGygVM4jFQiBovmRo,0.333,0.927,9,-8.55,0,0.0733,0.000208,0.297,0.385,141.466,308120,4
Bob Dylan,Highway 61 Revisited,Like a Rolling Stone,3AhXZa8sUQht0UEdBJgpGc,0.482,0.721,0,-6.839,1,0.0321,0,0.189,0.557,95.263,369600,4
Bob Dylan,The Times They Are A-Changin',The Times They Are A-Changin',52vA3CYKZqZVdQnzRrdZt6,0.389,0.396,7,-7.999,1,0.0332,0,0.0828,0.585,171.86,192053,3
Bob Dylan,Desire,Hurricane,1lqMLr9Wj7SM2F9AikGcxN,0.509,0.827,0,-7.715,1,0.079,0,0.12,0.743,135.601,512733,4
Bob Dylan,The Freewheelin' Bob Dylan,Blowin' in the Wind,18GiV1BaXzPVYpp9rmOg0E,0.38,0.0993,2,-20.567,1,0.0509,2.32E-05,0.0605,0.44,174.874,165427,4
Bob Dylan,The Freewheelin' Bob Dylan,"Don't Think Twice, It's All Right",2WOjLF83vqjit2Zh4B69V3,0.6,0.243,4,-17.085,1,0.0366,0.0022,0.249,0.468,110.535,217400,4
Bob Dylan,Bringing It All Back Home,Mr. Tambourine Man,3RkQ3UwOyPqpIiIvGVewuU,0.39,0.31,5,-14.545,1,0.0676,0,0.379,0.584,177.515,330533,4
Bob Dylan,Blood On The Tracks,Tangled up in Blue,6Vcwr9tb3ZLO63F8DL8cqu,0.421,0.661,9,-13.126,1,0.0433,1.16E-06,0.0962,0.554,100.965,341627,4
Bob Dylan,Nashville Skyline,"Lay, Lady, Lay",4uYwlMp841PLJmj1gJJwIq,0.52,0.179,11,-21.976,0,0.0454,0.00344,0.131,0.407,155.746,197093,4
Bob Dylan,Bringing It All Back Home,Subterranean Homesick Blues,6k9DUKMJpWvu6eFG3O64Lg,0.576,0.727,4,-9.973,0,0.05,0,0.324,0.751,173.854,141293,4
Bob Dylan,Another Side Of Bob Dylan,It Ain't Me Babe,5nbNWAfT1S6V1vqj3snHxS,0.572,0.302,7,-8.573,1,0.0286,0,0.125,0.389,105.54,214440,4
Bob Dylan,John Wesley Harding,All Along the Watchtower,0Fnb2pfBfu0ka33d6Yki17,0.581,0.41,1,-12.617,0,0.0303,2.04E-05,0.0746,0.697,129.175,151093,4
Bon Jovi,Slippery When Wet,You Give Love A Bad Name,0rmGAIH9LNJewFw7nKzZnc,0.541,0.96,0,-2.947,0,0.0505,2.25E-06,0.344,0.812,122.803,222707,4
Bon Jovi,Slippery When Wet,Livin' On A Prayer,37ZJ0p5Jm13JPevGcx4SkF,0.532,0.887,0,-3.757,1,0.0335,0.000214,0.294,0.795,122.511,249293,4
Bon Jovi,Crush,It's My Life,0v1XpBHnsbkCn7iJ9Ucr1l,0.551,0.913,0,-4.063,0,0.0466,1.35E-05,0.347,0.544,119.992,224493,4
Bon Jovi,Bon Jovi,Runaway,0X1sqQ652p1sceKM2nJlIJ,0.475,0.899,9,-4.321,0,0.0637,1.91E-05,0.14,0.603,152.445,230667,4
Bon Jovi,Slippery When Wet,Wanted Dead Or Alive,0oerlffJSzhRVvtDfLcp3N,0.252,0.802,7,-3.976,1,0.0391,0.0146,0.309,0.253,150.056,308667,4
Bonnie Tyler,The Very Best Of,Total Eclipse of The Heart,4McRlwqJQIERlJFiJEgbP0,0.435,0.712,8,-6.173,1,0.0668,0,0.314,0.151,131.251,267787,4
Bonnie Tyler,Ravishing - The Best Of,"Holding Out for a Hero - From ""Footloose"" Soundtrack",6AJlcxjEO2baFC24GPsJjg,0.575,0.811,9,-10.981,0,0.0401,4.37E-06,0.0902,0.873,149.671,348707,4
Bonnie Tyler,It's a Heartache,It's a Heartache,2pag2vElkdroT8hIO4Gozi,0.54,0.707,0,-5.541,1,0.0294,1.24E-06,0.368,0.494,118.875,209760,4
Brad Sucks,I Don't Know What I'm Doing,Making Me Nervous,4fnRr6vZwvxW1ycJQ9TVYH,0.766,0.591,0,-9.169,0,0.0672,0.0166,0.335,0.806,120.017,159240,4
Brad Sucks,I Don't Know What I'm Doing,Borderline,1o0mSf3ll5CbCSDl5DzWRl,0.576,0.681,7,-7.912,1,0.0453,0.00648,0.108,0.422,160.17,196760,4
Bronski Beat,The Age of Consent,Smalltown Boy,5vmRQ3zELMLUQPo2FLQ76x,0.685,0.584,5,-10.616,0,0.0276,0.00918,0.124,0.939,134.546,302413,4
Bruce Springsteen,Born In The U.S.A.,Dancing In the Dark,7FwBtcecmlpc1sLySPXeGE,0.527,0.942,1,-5.64,0,0.0366,0,0.188,0.495,148.723,241307,4
Bruce Springsteen,Born To Run,Born to Run,6hTcuIQa0sxrrByu9wTD7s,0.27,0.944,4,-4.199,1,0.0975,2.05E-05,0.116,0.606,146.347,269920,4
Bruce Springsteen,Born In The U.S.A.,Born in the U.S.A.,0dOg1ySSI7NkpAe89Zo0b9,0.398,0.952,4,-6.042,1,0.061,7.75E-05,0.1,0.584,122.093,278680,4
Bruce Springsteen,Born In The U.S.A.,Glory Days,2Y90nL1ohB4sgYELDs7uNx,0.574,0.96,9,-4.906,1,0.032,0,0.121,0.978,117.486,254733,4
Bruce Springsteen,Nebraska,Atlantic City,1Vp8U39YNsDfd6yVuaUq12,0.475,0.429,4,-10.577,1,0.0367,0,0.376,0.34,108.034,236653,4
Bruce Springsteen,Magic,Radio Nowhere,7zrHnJ87htwgS20PzFmgTr,0.395,0.955,9,-3.799,1,0.0488,0,0.36,0.658,140.219,199067,4
Bryan Adams,Reckless (30th Anniversary / Deluxe Edition),Summer Of '69,0GONea6G2XdnHWjNZd6zt3,0.508,0.834,2,-6.205,1,0.0386,0,0.0732,0.774,139.131,216053,4
Bryan Adams,Waking Up The Neighbours,(Everything I Do) I Do It For You,1Eb90nmqTrxylKFhcUzW8P,0.533,0.36,1,-12.633,1,0.0282,1.03E-05,0.0631,0.299,131.229,393640,4
Bryan Adams,Reckless (30th Anniversary / Deluxe Edition),Somebody,3KTxIOIZIE7UM6vwCX4Ofv,0.545,0.749,9,-5.485,0,0.0273,5.17E-06,0.0516,0.457,97.605,283387,4
The Buggles,The Age Of Plastic,Video Killed The Radio Star,7o7E1nrHWncYY7PY94gCiX,0.68,0.678,1,-11.548,1,0.0754,0.00828,0.204,0.251,131.165,252773,4
The Cars,Heartbeat City,Drive,3wfujdbamR3Z46F4xav7LM,0.582,0.606,6,-9.961,1,0.0289,0.00139,0.151,0.504,111.441,234493,5
The Cars,The Cars,Just What I Needed,4alHo6RGd0D3OUbTPExTHN,0.619,0.579,4,-9.307,1,0.0473,6.40E-05,0.0858,0.69,127.224,225627,4
The Cars,The Cars,My Best Friend's Girl,1SRkKyJ2JjMZgyDWC30zKv,0.799,0.608,5,-8.193,1,0.0411,0.0137,0.102,0.963,121.915,223253,4
The Cars,The Cars,Good Times Roll,7hVhRCDV100Jq26NGR7adw,0.607,0.662,4,-9.456,1,0.0278,8.27E-05,0.125,0.629,107.643,225853,4
Chris de Burgh,Into The Light,The Lady In Red,1GeNWyZtCHbcp3ZWp8GTOO,0.548,0.294,10,-17.112,1,0.0333,3.34E-06,0.0392,0.491,76.698,256173,4
The Clash,Combat Rock (Remastered),Should I Stay or Should I Go - Remastered,39shmbIHICJ2Wxnk1fPSdz,0.743,0.836,2,-6.465,1,0.116,0,0.384,0.82,113.375,188987,4
The Clash,London Calling (Remastered),London Calling - Remastered,5jzma6gCzYtKB1DbEwFZKH,0.651,0.801,0,-7.34,1,0.0514,0,0.0825,0.776,133.769,200480,4
The Clash,Combat Rock (Remastered),Rock the Casbah - Remastered,56KqaFSGTb7ifpt16t5Y1N,0.797,0.872,9,-6.727,0,0.0575,0,0.284,0.866,129.885,222427,4
The Clash,Hits Back,I Fought the Law,7lSDCrF11sdTVfjbAQVZE8,0.526,0.9,2,-6.815,1,0.0545,4.12E-05,0.14,0.883,151.279,163240,4
Coldplay,Parachutes,Yellow,3AJwUDP919kvQ9QcozQPxg,0.429,0.661,11,-7.227,1,0.0281,0.000121,0.234,0.285,173.372,266773,4
Coldplay,X&Y,Fix You,7LVHVU3tWfcxj5aiPFEW4Q,0.209,0.417,3,-8.74,1,0.0338,0.00196,0.113,0.124,138.178,295533,4
Coldplay,Parachutes,Don't Panic,2QhURnm7mQDxBb5jWkbDug,0.602,0.612,0,-8.409,1,0.0335,0.00607,0.107,0.453,122.062,136867,4
Corey Hart,The Singles,Sunglasses At Night,1QbQL5m30YNvukitIqAnFG,0.686,0.609,10,-11.469,0,0.0444,0.00015,0.113,0.719,127.736,320528,4
Counting Crows,August And Everything After,Mr. Jones,5DiXcVovI0FcY2s0icWWUu,0.578,0.817,0,-6.542,1,0.0363,3.06E-06,0.285,0.726,141.621,272293,4
Counting Crows,Hard Candy,Big Yellow Taxi,7FJXmwkTvxEcAelZ0scUCm,0.673,0.829,1,-6.059,1,0.0469,0,0.194,0.854,88.062,227533,4
Counting Crows,August And Everything After,Round Here,35qwJUKVy1OIt0wQ3xEXi0,0.314,0.478,7,-9.37,1,0.0341,7.19E-05,0.0814,0.186,94.203,331400,4
The Cranberries,No Need To Argue,Zombie,2IZZqH4K02UIYg5EohpNHF,0.307,0.635,7,-8.957,1,0.0339,0.00483,0.366,0.304,166.973,306427,4
The Cranberries,"Everybody Else Is Doing It, So Why Can't We?",Dreams,4JGKZS7h4Qa16gOU3oNETV,0.551,0.643,4,-13.091,1,0.0353,0.00385,0.421,0.514,128.661,271560,4
Creedence Clearwater Revival,Willy And The Poor Boys,Fortunate Son,4BP3uh0hFLFRb5cjsgLqDh,0.64,0.663,0,-7.516,1,0.0374,0.00806,0.152,0.663,132.77,140773,4
Creedence Clearwater Revival,Pendulum (40th Anniversary Edition),Have You Ever Seen The Rain,2LawezPeJhN4AWuSB0GtAU,0.741,0.697,0,-7.028,1,0.0277,2.28E-05,0.133,0.774,116.109,160133,4
Creedence Clearwater Revival,Green River (40th Anniversary Edition),Bad Moon Rising,2Sc2fikZMUod9wXnwTTzFx,0.508,0.774,2,-5.973,1,0.0321,4.87E-06,0.063,0.942,178.946,141600,4
Creedence Clearwater Revival,Willy And The Poor Boys,Down On The Corner,2gE95JskwQ1pCACTpGe1Db,0.858,0.544,0,-9.289,1,0.0751,0.00109,0.0707,0.874,108.217,166280,4
Creedence Clearwater Revival,Cosmo's Factory,Lookin' Out My Back Door,3RTUfvRgq3pYTf7XY0FIcS,0.745,0.656,10,-6.393,1,0.0405,0.00337,0.0941,0.858,105.318,152453,4
Creedence Clearwater Revival,Bayou Country (40th Anniversary Edition),Born On The Bayou,587bVBCHYW5Q2VNRLig4AS,0.656,0.601,9,-7.734,1,0.0389,0.0667,0.0974,0.576,117.296,315200,4
The Cure,Wish,Friday I'm In Love,4QlzkaRHtU8gAdwqjWmO8n,0.526,0.763,0,-12.663,0,0.0341,6.75E-05,0.359,0.514,136.205,215160,4
The Cure,Three Imaginary Boys,Boys Don't Cry,1QFh8OH1e78dGd3VyJZCAC,0.462,0.836,11,-5.766,0,0.0621,0,0.18,0.671,168.766,155973,4
The Cure,Japanese Whispers,The Lovecats,6q2T5xXao6mTS6LLE88L84,0.747,0.571,9,-12.9,0,0.086,1.05E-06,0.242,0.965,91.838,220093,4
Cutting Crew,Broadcast,(I Just) Died In Your Arms,4ByEFOBuLXpCqvO1kw8Wdm,0.625,0.726,11,-11.402,0,0.0444,0.000169,0.0625,0.507,124.945,280400,4
Various Artists,The Best Of The 80's,Girls Just Want to Have Fun,7sMGwiS4vOMcz86ZY3vKYM,0.705,0.847,6,-2.588,1,0.0361,3.21E-06,0.406,0.743,120.527,228120,4
Cyndi Lauper,She's So Unusual: A 30th Anniversary Celebration (Deluxe Edition),Time After Time,1Jj6MF0xDOMA3Ut2Z368Bx,0.724,0.436,0,-9.321,1,0.0282,1.19E-06,0.0908,0.324,130.439,243067,4
The Dandy Warhols,Thirteen Tales From Urban Bohemia,Bohemian Like You,0yEhNqCwEfy8LHUmnZoHpP,0.584,0.931,9,-6.158,1,0.0344,0.772,0.133,0.694,131.275,211707,4
David Gray,White Ladder,This Year's Love,1dQOMZz9SkT7ig0w65lQWC,0.33,0.167,8,-11.635,1,0.0311,3.08E-05,0.101,0.202,164.954,245533,3
David Gray,White Ladder,Babylon,5jLqVCGlKNYrLqCA1Qy4FV,0.737,0.543,8,-10.403,1,0.0374,0.01,0.103,0.256,112.016,265667,4
David Gray,White Ladder,Sail Away,7w5GAUVhimHVPSwTsPnxq5,0.651,0.568,0,-7.882,0,0.0399,3.48E-06,0.316,0.188,134.828,315373,4
David Gray,White Ladder,Please Forgive Me,2H0oiflYrs8PPjOxZ5TdIu,0.666,0.566,0,-10.31,1,0.0292,0.0695,0.0524,0.308,137.979,335267,4
David Gray,White Ladder,"Say Hello, Wave Goodbye",0eUfaEi18FD4WPPb44nL4B,0.599,0.408,9,-9.973,1,0.0277,2.51E-05,0.111,0.334,159.992,538200,4
David Gray,White Ladder,My Oh My,5zf1890t2UZ4MOxs3hTytD,0.707,0.45,7,-11.073,1,0.0348,0,0.0896,0.423,149.987,277267,4
David Gray,White Ladder,White Ladder,3sPgYsbRwiSMCBXcry8NWm,0.738,0.676,2,-8.721,1,0.0279,0.000315,0.138,0.679,112.196,254627,4
David Hasselhoff,"True Survivor (From ""Kung Fury"")","True Survivor - From ""Kung Fury""",3fnUvzulzK4SZGl5o1hgqx,0.649,0.972,4,-4.95,1,0.0854,0,0.0833,0.316,149.066,220178,4
Deep Blue Something,Home,Breakfast At Tiffany's,3GpdNg7Krt9vjc6tgDoKe1,0.624,0.826,2,-5.534,1,0.0287,0,0.0938,0.526,110.368,257187,4
Depeche Mode,The Singles 86-98,Personal Jesus - Single Version,4UCTgh5jvtqoaMX6MAhUNn,0.673,0.899,11,-3.528,1,0.0434,0.0172,0.0481,0.793,129.885,224933,4
The Doors,The Doors,Light My Fire,5uvosCdMlFdTXhoazkTI5R,0.413,0.725,3,-5.787,0,0.0324,2.16E-05,0.0905,0.44,124.618,429760,4
The Doors,The Doors,The End,5UgT7w6zVZjP3oyawMzbiK,0.347,0.302,0,-12.104,1,0.0291,9.17E-05,0.14,0.0332,105.702,703373,4
The Doors,The Doors,Break on Through (To the Other Side),6ToM0uwxtPKo9CMpbPGYvM,0.421,0.751,9,-9.584,1,0.0472,0,0.17,0.789,89.839,145867,4
The Doors,L.A. Woman,Riders on the Storm,14XWXWv5FoCbFzLksawpEe,0.55,0.722,11,-11.729,0,0.0283,0.0129,0.11,0.716,103.886,434720,4
Dr. Dre,2001,Still D.R.E.,3UOuBNEin5peSRqdzvlnWM,0.814,0.781,11,-3.33,1,0.233,0.000518,0.052,0.536,93.445,270667,4
Dr. Dre,2001,Forgot About Dre,0D8Npw3PzW1srmITkELL3s,0.926,0.733,8,-1.294,1,0.0647,0,0.179,0.65,133.966,222333,4
Dr. Dre,2001,What's The Difference,7GkrhcYfflOImusWPIFrPN,0.75,0.825,11,-0.15,0,0.269,0,0.195,0.764,92.028,244227,4
Blackstreet,Another Level,No Diggity,6MdqqkQ8sSC0WB4i8PyRuQ,0.867,0.646,1,-4.674,0,0.288,0,0.279,0.67,88.634,304600,4
Dr. Hook,Doctor Hook,Sylvia's Mother,4hLk7Bjz1XJWNDiqovvgBW,0.304,0.469,9,-12.71,1,0.0501,0,0.34,0.576,167.1,228333,4
Dr. Hook,Pleasure & Pain,When You're In Love With A Beautiful Woman,1UiKUFbCfgbVjwY8W657Pv,0.679,0.728,8,-9.539,1,0.0378,0.00261,0.0506,0.852,109.623,178827,4
